"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         114,      -11.36406283,      -11.37326862,      -11.03529801,      -10.77485434,      -10.74533083
          0,           0,         115,      -11.41927587,      -11.43398353,       -11.0795287,      -10.82112181,      -10.80108619
          0,           0,         116,      -11.47134773,      -11.48370352,      -11.12302187,      -10.86673702,      -10.84988016
          0,           0,         117,      -11.51543249,      -11.52161815,      -11.16282502,       -10.9088554,      -10.89090847
          0,           0,         118,      -11.55786962,      -11.56612869,      -11.20849252,      -10.94899657,      -10.93930006
          0,           0,         119,      -11.60895733,      -11.62171043,       -11.2499803,      -10.99310087,      -10.99077298
          0,           0,         120,      -11.66032245,      -11.66934149,      -11.29349198,      -11.03769164,      -11.03917232
          0,           0,         121,      -11.70396245,      -11.70837153,      -11.33615628,      -11.08068643,      -11.07991827
          0,           0,         122,      -11.74573409,      -11.75372051,      -11.38419479,       -11.1223844,      -11.12724568
          0,           0,         123,      -11.79540063,      -11.80752861,      -11.42830917,      -11.16894639,      -11.17712288
          0,           0,         124,      -11.84594008,      -11.85417132,      -11.47424927,      -11.21628215,      -11.22486186
          0,           0,         125,      -11.88985357,      -11.89376131,      -11.51945765,       -11.2620477,      -11.26600031
          0,           0,         126,      -11.93254487,       -11.9402358,      -11.56929923,      -11.30569927,      -11.31390684
          0,           0,         127,      -11.98364405,      -11.99509457,      -11.61618829,      -11.35477197,      -11.36512191
          0,           0,         128,      -12.03324215,      -12.04151347,      -11.66349348,      -11.40426352,      -11.41212741
          0,           0,           0,      -7.109533759,      -7.084101502,      -6.985859035,       -7.13777686,      -6.502367264
          0,           0,           1,      -6.709295711,      -6.558589477,      -6.576288994,      -6.565841676,      -6.100723179
          0,           0,           2,      -6.676746015,      -6.607377014,      -6.439286014,      -6.412321903,      -6.073036769
          0,           0,           3,      -6.725211438,      -6.652338709,      -6.391955318,      -6.311547141,      -6.121460866
          0,           0,           4,      -6.845831278,      -6.755764947,      -6.411603287,      -6.287778746,      -6.235938329
          0,           0,           5,        -6.8586128,      -6.792245854,      -6.462140351,       -6.32050033,       -6.24828142
          0,           0,           6,      -6.882426256,       -6.81507615,       -6.52097626,      -6.381046331,      -6.269119133
          0,           0,           7,      -6.938140432,      -6.868652445,      -6.582259165,      -6.435886244,      -6.328688369
          0,           0,           8,      -7.007242272,      -6.946087176,      -6.668214571,      -6.508380438,      -6.397378889
          0,           0,           9,        -7.0971802,      -7.043235141,      -6.777405751,       -6.59431013,       -6.48268998
          0,           0,          10,      -7.195112665,      -7.151837617,      -6.901830369,      -6.692318795,       -6.57585948
          0,           0,          11,      -7.267262942,      -7.242264522,      -7.030164015,      -6.802363269,      -6.645800748
