"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          86,      -10.07441112,      -10.02482681,       -9.79237288,      -9.513363519,      -9.446749842
          0,           0,          87,      -10.12412954,      -10.07580962,      -9.846031915,       -9.56093228,      -9.501482146
          0,           0,          88,      -10.17834848,      -10.13109282,      -9.895792052,      -9.613220823,      -9.556328019
          0,           0,          89,      -10.22908896,      -10.17808953,      -9.945732562,      -9.665417292,      -9.605165485
          0,           0,          90,      -10.27521868,      -10.21810849,       -9.99369074,      -9.715220234,       -9.64911272
          0,           0,          91,      -10.32054744,      -10.25850073,      -10.04065513,       -9.76266345,      -9.693150214
          0,           0,          92,      -10.36506042,      -10.29808779,      -10.08362729,      -9.806829891,      -9.736189701
          0,           0,          93,      -10.41814301,      -10.35418361,      -10.13740899,      -9.852966086,       -9.79228762
          0,           0,          94,      -10.47215847,      -10.41043541,       -10.1864274,      -9.902864247,      -9.845916728
          0,           0,          95,      -10.52104626,      -10.45784184,      -10.23686838,      -9.953765329,      -9.893091749
          0,           0,          96,      -10.56566689,      -10.49944869,      -10.28658911,      -10.00406531,       -9.93615093
          0,           0,          97,      -10.61602082,      -10.55230886,      -10.34291913,      -10.05369733,      -9.990679994
          0,           0,          98,      -10.67064368,      -10.60862596,       -10.3959957,      -10.10780525,      -10.04539133
          0,           0,          99,      -10.72246942,      -10.65862249,      -10.44991228,      -10.16239381,      -10.09533715
          0,           0,         100,      -10.77097753,      -10.70363728,      -10.50189784,      -10.21540806,      -10.14186054
          0,           0,         101,      -10.82216668,      -10.75606467,      -10.55739629,      -10.26474545,      -10.19807637
          0,           0,         102,      -10.87797547,      -10.81293766,       -10.6091222,       -10.3189453,      -10.25443121
          0,           0,         103,      -10.93063837,      -10.86270056,      -10.66109511,      -10.37333234,      -10.30509755
          0,           0,         104,      -10.98124779,      -10.90854815,      -10.71280507,      -10.42647042,      -10.35326516
          0,           0,         105,      -11.03075096,      -10.95478741,      -10.76397849,      -10.47787429,      -10.40131925
          0,           0,         106,      -11.07971622,      -11.00081719,      -10.81259436,      -10.52726724,      -10.44928619
          0,           0,         107,      -11.12817589,      -11.04631931,      -10.85726848,      -10.57360456,      -10.49639637
          0,           0,         108,      -11.18367058,      -11.10509071,      -10.91233113,      -10.62163955,      -10.55493102
          0,           0,         109,      -11.23973472,       -11.1640704,      -10.96292147,      -10.67370688,      -10.61077946
          0,           0,         110,      -11.29079946,      -11.21470469,      -11.01541445,      -10.72716749,      -10.66035564
          0,           0,         111,      -11.33826423,      -11.26008065,      -11.06777799,      -10.78042543,      -10.70639208
          0,           0,         112,      -11.39096842,      -11.31478546,      -11.12620115,      -10.83246694,      -10.76317279
          0,           0,         113,      -11.44799194,      -11.37303935,      -11.18192346,      -10.88919397,      -10.82032732
          0,           0,         114,      -11.50258229,      -11.42568466,      -11.23866748,      -10.94668795,      -10.87314965
          0,           0,         115,       -11.5543145,      -11.47388226,      -11.29351942,      -11.00284501,      -10.92293656
          0,           0,         116,      -11.60638456,      -11.52286931,      -11.34710094,      -11.05720897,      -10.97372611
          0,           0,         117,      -11.66051315,      -11.57481997,      -11.40030006,      -11.11044667,      -11.02679233
          0,           0,         118,      -11.71627499,      -11.62941644,      -11.45439988,      -11.16375834,       -11.0815652
          0,           0,         119,      -11.77237115,      -11.68486799,      -11.50982729,      -11.21825432,      -11.13680093
          0,           0,         120,      -11.82840552,      -11.74028312,      -11.56688876,      -11.27449955,      -11.19212894
          0,           0,         121,      -11.88360695,      -11.79387463,      -11.62400939,       -11.3317676,      -11.24635998
          0,           0,         122,      -11.94282017,      -11.85478376,      -11.68776393,      -11.39016393,      -11.30816594
          0,           0,         123,        -12.004652,      -11.91641569,      -11.75056874,      -11.45327493,       -11.3697487
